File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\mutation\IMutationAlgorithm.cs,14,12,8,0,2,0,0,0,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\mutation\InsertionMutation.cs,48,44,27,6,4,1,0,1,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\mutation\MutationAlgorithmFactory.cs,27,24,16,2,3,3,0,13,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\mutation\RandomSlideMutation.cs,30,27,19,2,3,1,0,1,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\mutation\RandomSwapMutation.cs,34,31,19,4,2,0,1,1,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\mutation\ScrambleMutation.cs,56,51,29,8,5,1,0,4,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\mutation\SingleSwapMutation.cs,45,41,25,4,3,1,1,5,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\selection\ISelectionAlgorithm.cs,21,14,10,0,6,2,1,8,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\selection\RankSelection.cs,44,37,23,3,7,1,0,1,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\selection\RouletteWheelSelection.cs,55,49,29,7,5,1,1,6,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\selection\SelectionAlgorithmFactory.cs,29,24,16,2,5,3,0,13,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\selection\StochasticUniversalSampling.cs,61,56,34,8,5,1,0,1,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\selection\TournamentSelection1.cs,49,46,28,4,3,1,0,1,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\selection\TournamentSelection2.cs,49,45,27,4,4,1,0,1,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\selection\TruncationSelection.cs,46,41,25,4,5,1,0,1,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Debug\AI_Algorithm_Simulator_Content.g.i.cs,14,2,0,0,4,1,8,30,0,1
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\obj\Debug\App.g.cs,83,51,34,1,14,0,18,50,0,0
